Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Calorische bovenwaarde;Omschrijving
17-04-2023;01:00:00;17-04-2023;02:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;9,776;kWh;Uitgelezen;Definitief;
17-04-2023;02:00:00;17-04-2023;03:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,141;m³;Uitgelezen;;
17-04-2023;02:00:00;17-04-2023;03:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;1,606;kWh;Uitgelezen;Definitief;
17-04-2023;03:00:00;17-04-2023;04:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
17-04-2023;03:00:00;17-04-2023;04:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
17-04-2023;04:00:00;17-04-2023;05:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
17-04-2023;04:00:00;17-04-2023;05:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
17-04-2023;05:00:00;17-04-2023;06:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
17-04-2023;05:00:00;17-04-2023;06:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
17-04-2023;06:00:00;17-04-2023;07:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,006;m³;Uitgelezen;;
17-04-2023;06:00:00;17-04-2023;07:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,068;kWh;Uitgelezen;Definitief;
17-04-2023;07:00:00;17-04-2023;08:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,495;m³;Uitgelezen;;
17-04-2023;07:00:00;17-04-2023;08:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;5,640;kWh;Uitgelezen;Definitief;
17-04-2023;08:00:00;17-04-2023;09:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,040;m³;Uitgelezen;;
17-04-2023;08:00:00;17-04-2023;09:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,456;kWh;Uitgelezen;Definitief;
17-04-2023;09:00:00;17-04-2023;10:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
17-04-2023;09:00:00;17-04-2023;10:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
17-04-2023;10:00:00;17-04-2023;11:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
17-04-2023;10:00:00;17-04-2023;11:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
17-04-2023;11:00:00;17-04-2023;12:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
17-04-2023;11:00:00;17-04-2023;12:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
17-04-2023;12:00:00;17-04-2023;13:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
17-04-2023;12:00:00;17-04-2023;13:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
17-04-2023;13:00:00;17-04-2023;14:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
